#Release 12.3 - par M.70d (nt)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Sun Sep 16 20:55:54 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc3s400a
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
D3,,DIFFSLR,IO_L02N_3,UNUSED,,3,,,,,,,,,
D4,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,
D5,,DIFFSTB,IO_L20N_0/PUDC_B,UNUSED,,0,,,,,,,,,
D6,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
D7,,DIFFMTB,IO_L16P_0,UNUSED,,0,,,,,,,,,
D8,,DIFFSTB,IO_L11N_0/GCLK9,UNUSED,,0,,,,,,,,,
D9,,DIFFSTB,IO_L09N_0/GCLK5,UNUSED,,0,,,,,,,,,
D10,,DIFFMTB,IO_L06P_0,UNUSED,,0,,,,,,,,,
D11,,DIFFSTB,IO_L03N_0,UNUSED,,0,,,,,,,,,
D12,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
D13,,DIFFMTB,IO_L01P_0,UNUSED,,0,,,,,,,,,
D14,fpga_0_LEDS_4BIT_GPIO_IO_pin<3>,IOB,IO_L23N_1/A23,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,YES,NONE,
D15,fpga_0_FLASH_2Mx16_Mem_A_pin<10>,IOB,IO_L22N_1/A21,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
D16,fpga_0_FLASH_2Mx16_Mem_A_pin<11>,IOB,IO_L22P_1/A20,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
E1,,DIFFSLR,IO_L03N_3,UNUSED,,3,,,,,,,,,
E2,,DIFFSLR,IO_L05N_3,UNUSED,,3,,,,,,,,,
E3,,DIFFMLR,IO_L05P_3,UNUSED,,3,,,,,,,,,
E4,,DIFFMI_NDT,IP_L04P_3,UNUSED,,3,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
E7,,DIFFSTB,IO_L14N_0/VREF_0,UNUSED,,0,,,,,,,,,
E8,,,VCCO_0,,,0,,,,,3.30,,,,
E9,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
E10,,DIFFSTB,IO_L06N_0/VREF_0,UNUSED,,0,,,,,,,,,
E11,,,VCCAUX,,,,,,,,3.3,,,,
E12,,,GND,,,,,,,,,,,,
E13,,DIFFMLR,IO_L23P_1/A22,UNUSED,,1,,,,,,,,,
E14,fpga_0_FLASH_2Mx16_Mem_A_pin<13>,IOB,IO_L20P_1/A18,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
E15,,,VCCO_1,,,1,,,,,3.30,,,,
E16,fpga_0_FLASH_2Mx16_Mem_A_pin<17>,IOB,IO_L18P_1/A14,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
F1,,DIFFMLR,IO_L08P_3,UNUSED,,3,,,,,,,,,
F2,,,GND,,,,,,,,,,,,
F3,,DIFFMLR,IO_L07P_3,UNUSED,,3,,,,,,,,,
F4,,DIFFSI_NDT,IP_L04N_3/VREF_3,UNUSED,,3,,,,,,,,,
F5,,,VCCAUX,,,,,,,,3.3,,,,
F6,,,GND,,,,,,,,,,,,
F7,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
F8,,DIFFMTB,IO_L14P_0,UNUSED,,0,,,,,,,,,
F9,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
F10,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
F11,,DIFFSI_NDT,IP_L25N_1,UNUSED,,1,,,,,,,,,
F12,,DIFFMI_NDT,IP_L25P_1/VREF_1,UNUSED,,1,,,,,,,,,
F13,fpga_0_FLASH_2Mx16_Mem_A_pin<12>,IOB,IO_L20N_1/A19,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
F14,fpga_0_FLASH_2Mx16_Mem_A_pin<14>,IOB,IO_L19N_1/A17,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
F15,fpga_0_FLASH_2Mx16_Mem_A_pin<16>,IOB,IO_L18N_1/A15,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
F16,fpga_0_FLASH_2Mx16_Mem_A_pin<20>,IOB,IO_L16N_1/A11,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
G1,,DIFFSLR,IO_L08N_3/VREF_3,UNUSED,,3,,,,,,,,,
G2,,DIFFMLR,IO_L11P_3/LHCLK0,UNUSED,,3,,,,,,,,,
G3,,DIFFMLR,IO_L09P_3,UNUSED,,3,,,,,,,,,
G4,,DIFFSLR,IO_L07N_3,UNUSED,,3,,,,,,,,,
G5,,DIFFSI_NDT,IP_L06N_3/VREF_3,UNUSED,,3,,,,,,,,,
G6,,DIFFMI_NDT,IP_L06P_3,UNUSED,,3,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.2,,,,
G10,,,GND,,,,,,,,,,,,
G11,,DIFFSI_NDT,IP_L21N_1,UNUSED,,1,,,,,,,,,
G12,,DIFFMI_NDT,IP_L21P_1/VREF_1,UNUSED,,1,,,,,,,,,
G13,fpga_0_FLASH_2Mx16_Mem_A_pin<15>,IOB,IO_L19P_1/A16,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
G14,fpga_0_FLASH_2Mx16_Mem_A_pin<18>,IOB,IO_L17N_1/A13,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
G15,,,GND,,,,,,,,,,,,
G16,fpga_0_FLASH_2Mx16_Mem_A_pin<21>,IOB,IO_L16P_1/A10,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
H1,,DIFFSLR,IO_L11N_3/LHCLK1,UNUSED,,3,,,,,,,,,
H2,,,VCCO_3,,,3,,,,,3.30,,,,
H3,,DIFFMLR,IO_L12P_3/LHCLK2,UNUSED,,3,,,,,,,,,
H4,fpga_0_rst_1_sys_rst_pin,IBUF,IO_L09N_3,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
H5,fpga_0_CS_PUSH_3BIT_GPIO_IO_I_pin<1>,IBUF,IO_L10N_3,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
H6,,DIFFMLR,IO_L10P_3,UNUSED,,3,,,,,,,,,
H7,,DIFFMI_NDT,IP_L13P_3,UNUSED,,3,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.2,,,,
H9,,,GND,,,,,,,,,,,,
H10,,DIFFMI_NDT,IP_L13P_1,UNUSED,,1,,,,,,,,,
H11,,DIFFSI_NDT,IP_L13N_1,UNUSED,,1,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,3.30,,,,
H13,fpga_0_FLASH_2Mx16_Mem_A_pin<19>,IOB,IO_L17P_1/A12,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
H14,,DIFFSLR,IO_L14N_1/RHCLK5,UNUSED,,1,,,,,,,,,
H15,,DIFFMLR,IO_L15P_1/IRDY1/RHCLK6,UNUSED,,1,,,,,,,,,
H16,,DIFFSLR,IO_L15N_1/RHCLK7,UNUSED,,1,,,,,,,,,
J1,,DIFFSLR,IO_L14N_3/LHCLK5,UNUSED,,3,,,,,,,,,
J2,,DIFFMLR,IO_L14P_3/LHCLK4,UNUSED,,3,,,,,,,,,
J3,,DIFFSLR,IO_L12N_3/IRDY2/LHCLK3,UNUSED,,3,,,,,,,,,
J4,,DIFFMLR,IO_L17P_3,UNUSED,,3,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,3.30,,,,
J6,,DIFFSLR,IO_L17N_3,UNUSED,,3,,,,,,,,,
J7,,DIFFSI_NDT,IP_L13N_3,UNUSED,,3,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VCCINT,,,,,,,,1.2,,,,
J10,,DIFFMI_NDT,IP_L09P_1/VREF_1,UNUSED,,1,,,,,,,,,
J11,,DIFFSI_NDT,IP_L09N_1,UNUSED,,1,,,,,,,,,
J12,fpga_0_FLASH_2Mx16_Mem_A_pin<23>,IOB,IO_L10P_1/A8,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
J13,fpga_0_FLASH_2Mx16_Mem_A_pin<22>,IOB,IO_L10N_1/A9,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
J14,,DIFFMLR,IO_L14P_1/RHCLK4,UNUSED,,1,,,,,,,,,
J15,,,VCCO_1,,,1,,,,,3.30,,,,
J16,,DIFFSLR,IO_L12N_1/TRDY1/RHCLK3,UNUSED,,1,,,,,,,,,
K1,,DIFFSLR,IO_L15N_3/LHCLK7,UNUSED,,3,,,,,,,,,
K2,,,GND,,,,,,,,,,,,
K3,fpga_0_CS_PUSH_3BIT_GPIO_IO_I_pin<2>,IBUF,IO_L15P_3/TRDY2/LHCLK6,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
K4,,DIFFMLR,IO_L18P_3,UNUSED,,3,,,,,,,,,
K5,,DIFFMI_NDT,IP_L21P_3,UNUSED,,3,,,,,,,,,
K6,,DIFFSI_NDT,IP_L21N_3,UNUSED,,3,,,,,,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.2,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,VCCINT,,,,,,,,1.2,,,,
K11,,DIFFMI_NDT,IP_L04P_1,UNUSED,,1,,,,,,,,,
K12,,DIFFSI_NDT,IP_L04N_1/VREF_1,UNUSED,,1,,,,,,,,,
K13,fpga_0_FLASH_2Mx16_Mem_A_pin<28>,IOB,IO_L06N_1/A3,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
K14,,DIFFSLR,IO_L11N_1/RHCLK1,UNUSED,,1,,,,,,,,,
K15,,DIFFMLR,IO_L11P_1/RHCLK0,UNUSED,,1,,,,,,,,,
K16,,DIFFMLR,IO_L12P_1/RHCLK2,UNUSED,,1,,,,,,,,,
L1,,DIFFMLR,IO_L16P_3/VREF_3,UNUSED,,3,,,,,,,,,
L2,,DIFFSLR,IO_L16N_3,UNUSED,,3,,,,,,,,,
L3,fpga_0_CS_PUSH_3BIT_GPIO_IO_I_pin<0>,IBUF,IO_L18N_3,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
L4,,DIFFSLR,IO_L19N_3,UNUSED,,3,,,,,,,,,
L5,,DIFFMI_NDT,IP_L25P_3,UNUSED,,3,,,,,,,,,
L6,,DIFFSI_NDT,IP_L25N_3/VREF_3,UNUSED,,3,,,,,,,,,
L7,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
L8,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
L9,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
L10,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCAUX,,,,,,,,3.3,,,,
L13,fpga_0_FLASH_2Mx16_Mem_A_pin<29>,IOB,IO_L06P_1/A2,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
L14,fpga_0_FLASH_2Mx16_Mem_A_pin<25>,IOB,IO_L08P_1/A6,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
L15,,,GND,,,,,,,,,,,,
L16,fpga_0_FLASH_2Mx16_Mem_A_pin<24>,IOB,IO_L08N_1/A7,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M1,fpga_0_MSP430_UART_RX_pin,IBUF,IO_L20P_3,INPUT,LVCMOS33,3,,,,IFD,,LOCATED,YES,NONE,
M2,,,VCCO_3,,,3,,,,,3.30,,,,
M3,,DIFFMLR,IO_L19P_3,UNUSED,,3,,,,,,,,,
M4,,DIFFSLR,IO_L24N_3,UNUSED,,3,,,,,,,,,
M5,,,GND,,,,,,,,,,,,
M6,,,VCCAUX,,,,,,,,3.3,,,,
M7,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
M8,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
M9,,,VCCO_2,,,2,,,,,3.30,,,,
M10,,DIFFSTB,IO_L13N_2,UNUSED,,2,,,,,,,,,
M11,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
M12,,,GND,,,,,,,,,,,,
M13,fpga_0_TEMP_SENSOR_Sda_pin,IOB,IO_L05P_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
M14,fpga_0_TEMP_SENSOR_Scl_pin,IOB,IO_L05N_1/VREF_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
M15,fpga_0_FLASH_2Mx16_Mem_A_pin<27>,IOB,IO_L07P_1/A4,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M16,fpga_0_FLASH_2Mx16_Mem_A_pin<26>,IOB,IO_L07N_1/A5,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N1,fpga_0_MSP430_UART_TX_pin,IOB,IO_L20N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N2,,DIFFMLR,IO_L22P_3,UNUSED,,3,,,,,,,,,
N3,,DIFFMLR,IO_L24P_3,UNUSED,,3,,,,,,,,,
N4,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
N5,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
N6,,DIFFMTB,IO_L04P_2/VS1,UNUSED,,2,,,,,,,,,
N7,fpga_0_FLASH_2Mx16_Mem_DQ_pin<4>,IOB,IO_L07P_2,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
N8,fpga_0_FLASH_2Mx16_Mem_DQ_pin<11>,IOB,IO_L08N_2/D4,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
N9,,DIFFMTB,IO_L11P_2/GCLK0,UNUSED,,2,,,,,,,,,
N10,,DIFFMTB,IO_L13P_2,UNUSED,,2,,,,,,,,,
N11,fpga_0_FLASH_2Mx16_Mem_DQ_pin<5>,IOB,IO_L16N_2,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
N12,,DIFFMTB,IO_L19P_2,UNUSED,,2,,,,,,,,,
N13,fpga_0_FLASH_2Mx16_Mem_WEN_pin,IOB,IO_L01P_1/HDC,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N14,fpga_0_FLASH_2Mx16_MEM_BYTEn_pin,IOB,IO_L01N_1/LDC2,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N15,,,VCCO_1,,,1,,,,,3.30,,,,
N16,fpga_0_FLASH_2Mx16_Mem_A_pin<30>,IOB,IO_L03N_1/A1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P1,,DIFFSLR,IO_L22N_3,UNUSED,,3,,,,,,,,,
P2,,DIFFSLR,IO_L23N_3,UNUSED,,3,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
P5,,DIFFSTB,IO_L04N_2/VS0,UNUSED,,2,,,,,,,,,
P6,fpga_0_FLASH_2Mx16_Mem_DQ_pin<1>,IOB,IO_L07N_2,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
P7,fpga_0_FLASH_2Mx16_Mem_DQ_pin<10>,IOB,IO_L08P_2/D5,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
P8,,DIFFMTB,IO_L10P_2/GCLK14,UNUSED,,2,,,,,,,,,
P9,,DIFFSTB,IO_L11N_2/GCLK1,UNUSED,,2,,,,,,,,,
P10,,DIFFSTB,IO_L14N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P11,fpga_0_FLASH_2Mx16_Mem_DQ_pin<7>,IOB,IO_L16P_2,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
P12,fpga_0_FLASH_2Mx16_Mem_DQ_pin<12>,IOB,IO_L17N_2/D3,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
P13,,DIFFSTB,IO_L19N_2,UNUSED,,2,,,,,,,,,
P14,,,GND,,,,,,,,,,,,
P15,fpga_0_FLASH_2Mx16_Mem_CEN_pin,IOB,IO_L02N_1/LDC0,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P16,fpga_0_FLASH_2Mx16_Mem_DQ_pin<0>,IOB,IO_L03P_1/A0,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R1,,DIFFMLR,IO_L23P_3,UNUSED,,3,,,,,,,,,
R2,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
R3,fpga_0_FLASH_2Mx16_Mem_DQ_pin<6>,IOB,IO_L03P_2/RDWR_B,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R4,,,VCCO_2,,,2,,,,,3.30,,,,
R5,fpga_0_FLASH_2Mx16_Mem_DQ_pin<3>,IOB,IO_L05N_2,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R6,,,GND,,,,,,,,,,,,
R7,,DIFFMTB,IO_L09P_2/GCLK12,UNUSED,,2,,,,,,,,,
R8,,,VCCO_2,,,2,,,,,3.30,,,,
R9,,DIFFMTB,IO_L12P_2/GCLK2,UNUSED,,2,,,,,,,,,
R10,,,GND,,,,,,,,,,,,
R11,,DIFFSTB,IO_L15N_2/DOUT,UNUSED,,2,,,,,,,,,
R12,,,VCCO_2,,,2,,,,,3.30,,,,
R13,fpga_0_FLASH_2Mx16_Mem_DQ_pin<14>,IOB,IO_L18N_2/D1,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R14,,DIFFSTB,IO_L20N_2/CCLK,UNUSED,,2,,,,,,,,,
R15,fpga_0_FLASH_2Mx16_Mem_OEN_pin,IOB,IO_L02P_1/LDC1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R16,,,SUSPEND,,,,,,,,,,,,
T1,,,GND,,,,,,,,,,,,
T2,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,
T3,,DIFFSTB,IO_L03N_2/VS2,UNUSED,,2,,,,,,,,,
T4,fpga_0_FLASH_2Mx16_Mem_DQ_pin<2>,IOB,IO_L05P_2,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
T5,fpga_0_FLASH_2Mx16_Mem_DQ_pin<8>,IOB,IO_L06P_2/D7,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
T6,fpga_0_FLASH_2Mx16_Mem_DQ_pin<9>,IOB,IO_L06N_2/D6,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
T7,,DIFFSTB,IO_L09N_2/GCLK13,UNUSED,,2,,,,,,,,,
T8,,DIFFSTB,IO_L10N_2/GCLK15,UNUSED,,2,,,,,,,,,
T9,,DIFFSTB,IO_L12N_2/GCLK3,UNUSED,,2,,,,,,,,,
T10,fpga_0_FLASH_2Mx16_Mem_RPN_pin,IOB,IO_L14P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
T11,,DIFFMTB,IO_L15P_2/AWAKE,UNUSED,,2,,,,,,,,,
T12,,DIFFMTB,IO_L17P_2/INIT_B,UNUSED,,2,,,,,,,,,
T13,fpga_0_FLASH_2Mx16_Mem_DQ_pin<13>,IOB,IO_L18P_2/D2,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
T14,fpga_0_FLASH_2Mx16_Mem_DQ_pin<15>,IOB,IO_L20P_2/D0/DIN/MISO,BIDIR,LVCMOS33,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
T15,,,DONE,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
